,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
124,Pd-Au@Pd,-1.31,0.93,-1.51,1.39,-0.19,5.01,5.90,1.52,0.94,8.34,0.56,2.20,2.35,2.78
125,Pt-Sc@Pt,-0.68,0.89,-2.46,1.90,1.31,5.16,6.74,1.53,1.04,9.00,2.13,2.28,1.81,3.90
126,Pt-Ti@Pt,-0.77,0.89,-2.70,1.90,1.11,4.51,6.74,1.53,1.04,9.00,2.13,2.28,1.92,3.90
127,Pt-V@Pt,-0.88,0.88,-2.65,1.93,0.90,3.93,6.74,1.53,1.04,9.00,2.13,2.28,1.96,3.90
128,Pt-Co@Pt,-1.18,0.88,-2.12,1.81,0.50,3.77,6.74,1.53,1.04,9.00,2.13,2.28,2.09,3.90
129,Pt-Ni@Pt,-1.36,0.88,-2.05,1.80,0.46,3.68,6.74,1.53,1.04,9.00,2.13,2.28,2.11,3.90
130,Pt-Cu@Pt,-1.44,0.89,-1.76,1.74,0.36,3.88,6.74,1.53,1.04,9.00,2.13,2.28,2.10,3.90
131,Pt-Y@Pt,-0.79,0.88,-2.33,1.80,1.31,5.54,6.74,1.53,1.04,9.00,2.13,2.28,1.73,3.90
132,Pt-Zr@Pt,-0.89,0.88,-2.51,1.95,1.28,5.14,6.74,1.53,1.04,9.00,2.13,2.28,1.79,3.90
133,Pt-Nb@Pt,-1.06,0.88,-2.60,2.02,1.04,4.24,6.74,1.53,1.04,9.00,2.13,2.28,1.95,3.90
134,Pt-Mo@Pt,-1.09,0.88,-2.59,2.01,0.78,3.64,6.74,1.53,1.04,9.00,2.13,2.28,2.23,3.90
135,Pt-Ru@Pt,-1.43,0.87,-2.32,1.88,0.42,3.34,6.74,1.53,1.04,9.00,2.13,2.28,2.24,3.90
136,Pt-Rh@Pt,-1.49,0.88,-2.19,1.84,0.36,3.45,6.74,1.53,1.04,9.00,2.13,2.28,2.28,3.90
137,Pt-Pd@Pt,-1.64,0.88,-1.86,1.71,0.28,3.65,6.74,1.53,1.04,9.00,2.13,2.28,2.24,3.90
138,Pt-Ag@Pt,-1.52,0.90,-1.56,1.62,0.23,4.47,6.74,1.53,1.04,9.00,2.13,2.28,2.12,3.90
139,Pt-La@Pt,-0.72,0.88,-2.05,1.69,1.01,5.86,6.74,1.53,1.04,9.00,2.13,2.28,1.65,3.90
140,Pt-Ta@Pt,-1.04,0.88,-2.74,2.15,1.07,4.36,6.74,1.53,1.04,9.00,2.13,2.28,1.89,3.90
141,Pt-W@Pt,-1.08,0.87,-2.76,2.16,0.80,3.71,6.74,1.53,1.04,9.00,2.13,2.28,2.32,3.90
142,Pt-Re@Pt,-1.20,0.88,-2.73,2.14,0.56,3.34,6.74,1.53,1.04,9.00,2.13,2.28,2.10,3.90
143,Pt-Os@Pt,-1.40,0.88,-2.65,2.10,0.37,3.27,6.74,1.53,1.04,9.00,2.13,2.28,2.24,3.90
144,Pt-Ir@Pt,-1.52,0.87,-2.41,2.01,0.25,3.39,6.74,1.53,1.04,9.00,2.13,2.28,2.24,3.90
145,Pt-Pt@Pt,-1.70,0.88,-2.03,1.87,0.17,3.65,6.74,1.53,1.04,9.00,2.13,2.28,2.28,3.90
146,Pt-Au@Pt,-1.67,0.89,-1.63,1.74,0.07,4.25,6.74,1.53,1.04,9.00,2.13,2.28,2.39,3.90
147,"Cu Sc@Cu 
3",-0.51,0.97,-2.38,0.91,2.41,16.40,5.30,1.41,0.67,7.73,1.24,1.90,1.76,1.00
148,"Cu Ti@Cu 
3",-0.52,0.97,-2.45,0.97,1.96,13.27,5.30,1.41,0.67,7.73,1.24,1.90,1.81,1.00
149,"Cu V@Cu 
3",-0.65,0.97,-2.34,1.00,1.78,12.24,5.30,1.41,0.67,7.73,1.24,1.90,1.84,1.00
150,"Cu Cr@Cu 
3",-0.66,0.97,-2.36,1.01,1.70,12.23,5.30,1.41,0.67,7.73,1.24,1.90,1.84,1.00
151,"Cu Mn@Cu 
3",-0.63,0.97,-2.38,1.01,1.55,12.33,5.30,1.41,0.67,7.73,1.24,1.90,1.82,1.00
152,"Cu Co@Cu 
3",-0.63,0.97,-2.19,1.07,1.19,9.91,5.30,1.41,0.67,7.73,1.24,1.90,1.90,1.00
153,"Cu Ni@Cu 
3",-0.66,0.97,-2.15,1.07,1.17,9.80,5.30,1.41,0.67,7.73,1.24,1.90,1.90,1.00
154,"Cu Cu@Cu 
3",-0.63,0.97,-2.26,1.06,1.11,10.84,5.30,1.41,0.67,7.73,1.24,1.90,1.90,1.00
155,"Cu Zn@Cu 
3",-0.70,0.98,-2.36,1.02,0.94,13.94,5.30,1.41,0.67,7.73,1.24,1.90,1.84,1.00
156,"Cu Ga@Cu 
3",-0.72,0.97,-2.53,1.06,0.85,15.36,5.30,1.41,0.67,7.73,1.24,1.90,1.88,1.00
157,"Cu Ge@Cu 
3",-0.80,0.97,-2.46,1.09,0.54,14.48,5.30,1.41,0.67,7.73,1.24,1.90,1.92,1.00
158,"Cu Y@Cu 
3",-0.49,0.97,-2.31,0.90,2.20,15.96,5.30,1.41,0.67,7.73,1.24,1.90,1.72,1.00
159,"Cu Zr@Cu 
3",-0.56,0.97,-2.39,0.93,2.37,15.68,5.30,1.41,0.67,7.73,1.24,1.90,1.76,1.00
160,"Cu Nb@Cu 
3",-0.51,0.97,-2.36,0.99,1.91,12.49,5.30,1.41,0.67,7.73,1.24,1.90,1.83,1.00
161,"Cu Mo@Cu 
3",-0.48,0.97,-2.27,1.03,1.51,10.49,5.30,1.41,0.67,7.73,1.24,1.90,1.95,1.00
162,"Cu Ru@Cu 
3",-0.67,0.97,-2.04,1.04,1.06,9.17,5.30,1.41,0.67,7.73,1.24,1.90,1.96,1.00
163,"Cu Rh@Cu 
3",-0.72,0.97,-1.98,1.04,0.99,9.29,5.30,1.41,0.67,7.73,1.24,1.90,1.98,1.00
164,"Cu Pd@Cu 
3",-0.70,0.97,-1.94,1.01,0.87,9.99,5.30,1.41,0.67,7.73,1.24,1.90,1.96,1.00
165,"Cu Ag@Cu 
3",-0.70,0.98,-2.09,0.96,0.77,13.51,5.30,1.41,0.67,7.73,1.24,1.90,1.91,1.00
166,"Cu In@Cu 
3",-0.75,0.98,-2.39,0.99,-0.21,29.99,5.30,1.41,0.67,7.73,1.24,1.90,1.87,1.00
167,"Cu La@Cu 
3",-0.60,0.97,-2.16,0.86,2.11,16.29,5.30,1.41,0.67,7.73,1.24,1.90,1.68,1.00
168,"Cu Ta@Cu 
3",-0.49,0.97,-2.47,1.03,1.90,12.33,5.30,1.41,0.67,7.73,1.24,1.90,1.80,1.00
169,"Cu W@Cu 
3",-0.46,0.97,-2.38,1.08,1.49,10.17,5.30,1.41,0.67,7.73,1.24,1.90,1.99,1.00
170,"Cu Re@Cu 
3",-0.49,0.97,-2.31,1.13,1.11,8.69,5.30,1.41,0.67,7.73,1.24,1.90,1.90,1.00
171,"Cu Os@Cu 
3",-0.65,0.97,-2.23,1.13,0.92,8.43,5.30,1.41,0.67,7.73,1.24,1.90,1.96,1.00
172,"Cu Ir@Cu 
3",-0.72,0.97,-2.09,1.10,0.78,8.59,5.30,1.41,0.67,7.73,1.24,1.90,1.96,1.00
173,"Cu Pt@Cu 
3",-0.74,0.97,-1.97,1.07,0.61,9.16,5.30,1.41,0.67,7.73,1.24,1.90,1.98,1.00
174,"Cu Au@Cu 
3",-0.72,0.98,-2.11,1.02,0.35,11.84,5.30,1.41,0.67,7.73,1.24,1.90,2.03,1.00
175,"Cu Tl@Cu 
3",-0.73,0.98,-2.31,0.98,-0.51,27.36,5.30,1.41,0.67,7.73,1.24,1.90,1.83,1.00
176,"Cu Pb@Cu 
3",-0.80,0.98,-2.27,0.92,0.77,19.57,5.30,1.41,0.67,7.73,1.24,1.90,1.99,1.00
177,"Ag Sc@Ag 
3",-0.05,0.98,-4.02,1.06,3.28,20.88,5.01,1.59,0.89,7.58,1.30,1.93,1.79,2.26
178,"Ag Ti@Ag 
3",-0.10,0.98,-4.01,1.09,2.96,18.67,5.01,1.59,0.89,7.58,1.30,1.93,1.84,2.26
179,"Ag V@Ag 
3",-0.12,0.98,-3.98,1.13,2.88,17.91,5.01,1.59,0.89,7.58,1.30,1.93,1.86,2.26
180,"Ag Cr@Ag 
3",-0.12,0.98,-4.03,1.13,2.88,18.26,5.01,1.59,0.89,7.58,1.30,1.93,1.87,2.26
181,"Ag Mn@Ag 
3",-0.12,0.98,-4.08,1.15,2.71,17.36,5.01,1.59,0.89,7.58,1.30,1.93,1.84,2.26
182,"Ag Co@Ag 
3",-0.11,0.98,-3.90,1.19,2.32,14.44,5.01,1.59,0.89,7.58,1.30,1.93,1.92,2.26
183,"Ag Ni@Ag 
3",-0.09,0.98,-3.85,1.20,2.29,14.31,5.01,1.59,0.89,7.58,1.30,1.93,1.93,2.26
184,"Ag Cu@Ag 
3",-0.08,0.98,-3.99,1.16,2.37,15.46,5.01,1.59,0.89,7.58,1.30,1.93,1.92,2.26
185,"Ag Zn@Ag 
3",-0.11,0.98,-4.10,1.14,2.28,16.76,5.01,1.59,0.89,7.58,1.30,1.93,1.86,2.26
186,"Ag Ga@Ag 
3",-0.14,0.98,-4.12,1.16,2.34,17.28,5.01,1.59,0.89,7.58,1.30,1.93,1.90,2.26
187,"Ag Ge@Ag 
3",-0.20,0.98,-3.92,1.13,2.25,17.64,5.01,1.59,0.89,7.58,1.30,1.93,1.95,2.26
188,"Ag Nb@Ag 
3",-0.07,0.98,-3.89,1.14,2.86,16.72,5.01,1.59,0.89,7.58,1.30,1.93,1.85,2.26
189,"Ag Ru@Ag 
3",-0.11,0.98,-3.65,1.18,2.24,13.22,5.01,1.59,0.89,7.58,1.30,1.93,1.99,2.26
